,Beta Value,Max Bid,Num Bids,Average Optimum Profit,Average Actual Profit,Average Loss,Average Loss Per Bid,Worst Loss,Average Worst Loss
34,1.1,40,500,5345.74,3846.623,1013.14,2.026,1350.858,2.702
35,1.1,40,1000,10582.04,8574.054,1045.983,1.046,1564.377,1.564
36,1.1,50,5,86.66,32.396,46.385,9.277,98.456,19.691
37,1.1,50,10,153.22,65.531,73.76,7.376,177.702,17.77
38,1.1,50,20,297.64,122.884,147.698,7.385,304.935,15.247
39,1.1,50,50,713.24,332.747,315.653,6.313,494.646,9.893
40,1.1,50,100,1344.38,682.29,539.874,5.399,774.596,7.746
41,1.1,50,150,1994.0,1072.063,740.665,4.938,954.367,6.362
42,1.1,50,200,2695.48,1581.354,869.082,4.345,1187.025,5.935
43,1.1,50,500,6578.58,4686.145,1294.383,2.589,1754.163,3.508
44,1.1,50,1000,13040.98,10587.199,1268.238,1.268,1769.518,1.77
45,1.1,100,5,170.66,52.842,102.303,20.461,215.901,43.18
46,1.1,100,10,320.44,108.739,182.57,18.257,349.992,34.999
47,1.1,100,20,596.42,224.632,317.568,15.878,486.339,24.317
48,1.1,100,50,1297.48,538.92,640.607,12.812,1009.635,20.193
